Data formatted for PyEL Edge Loading Geometric Model,,,,
Time (s),Axial Force (N),AA (degrees),FE (degrees),IE (degrees)
0,70,0,0,0
0.007874016,195.99,0,0,0
0.015748031,400.78,0,0,0
0.023622047,773.94,0,0,0
0.031496063,1254.58,0,0,0
0.039370079,1760.88,0,0,0
0.047244094,2173.25,0,0,0
0.05511811,2404.04,0,0,0
0.062992126,2537.43,0,0,0
0.070866142,2670,0,0,0
0.078740157,2800,0,0,0
0.086614173,2900,0,0,0
0.094488189,2960,0,0,0
0.102362205,2990,0,0,0
0.11023622,3000,0,0,0
0.118110236,2990,0,0,0
0.125984252,2960,0,0,0
0.133858268,2910,0,0,0
0.141732283,2840,0,0,0
0.149606299,2773.05,0,0,0
0.157480315,2692.51,0,0,0
0.165354331,2612.81,0,0,0
0.173228346,2542.52,0,0,0
0.181102362,2468.66,0,0,0
0.188976378,2394.13,0,0,0
0.196850394,2311.05,0,0,0
0.204724409,2221.95,0,0,0
0.212598425,2132.43,0,0,0
0.220472441,2058.15,0,0,0
0.228346457,1983.62,0,0,0
0.236220472,1913.92,0,0,0
0.244094488,1846.84,0,0,0
0.251968504,1784.08,0,0,0
0.25984252,1727.76,0,0,0
0.267716535,1676.35,0,0,0
0.275590551,1636.46,0,0,0
0.283464567,1605.89,0,0,0
0.291338583,1589.37,0,0,0
0.299212598,1575.06,0,0,0
0.307086614,1565.49,0,0,0
0.31496063,1564.81,0,0,0
0.322834646,1570.91,0,0,0
0.330708661,1584.46,0,0,0
0.338582677,1613.09,0,0,0
0.346456693,1649.17,0,0,0
0.354330709,1695.66,0,0,0
0.362204724,1742.67,0,0,0
0.37007874,1796.02,0,0,0
0.377952756,1860.73,0,0,0
0.385826772,1938.56,0,0,0
0.393700787,2021.56,0,0,0
0.401574803,2102.87,0,0,0
0.409448819,2171.98,0,0,0
0.417322835,2252.69,0,0,0
0.42519685,2344.08,0,0,0
0.433070866,2437.58,0,0,0
0.440944882,2530.66,0,0,0
0.448818898,2640,0,0,0
0.456692913,2720,0,0,0
0.464566929,2800,0,0,0
0.472440945,2870,0,0,0
0.480314961,2940,0,0,0
0.488188976,2980,0,0,0
0.496062992,2995,0,0,0
0.503937008,3000,0,0,0
0.511811024,2990,0,0,0
0.519685039,2960,0,0,0
0.527559055,2900,0,0,0
0.535433071,2820,0,0,0
0.543307087,2713.95,0,0,0
0.551181102,2598.6,0,0,0
0.559055118,2464.84,0,0,0
0.566929134,2311.07,0,0,0
0.57480315,2139.22,0,0,0
0.582677165,1937.44,0,0,0
0.590551181,1694.67,0,0,0
0.598425197,1427.69,0,0,0
0.606299213,1155.87,0,0,0
0.614173228,910.7,0,0,0
0.622047244,715.4,0,0,0
0.62992126,575.65,0,0,0
0.637795276,482.83,0,0,0
0.645669291,421.29,0,0,0
0.653543307,375.69,0,0,0
0.661417323,339.28,0,0,0
0.669291339,302.82,0,0,0
0.677165354,265.24,0,0,0
0.68503937,227.44,0,0,0
0.692913386,200.69,0,0,0
0.700787402,175,0,0,0
0.708661417,150,0,0,0
0.716535433,130,0,0,0
0.724409449,120,0,0,0
0.732283465,110,0,0,0
0.74015748,105,0,0,0
0.748031496,100,0,0,0
0.755905512,95,0,0,0
0.763779528,90,0,0,0
0.771653543,85,0,0,0
0.779527559,80,0,0,0
0.787401575,75,0,0,0
0.795275591,70,0,0,0
0.803149606,70,0,0,0
0.811023622,70,0,0,0
0.818897638,70,0,0,0
0.826771654,70,0,0,0
0.834645669,70,0,0,0
0.842519685,70,0,0,0
0.850393701,70,0,0,0
0.858267717,70,0,0,0
0.866141732,70,0,0,0
0.874015748,70,0,0,0
0.881889764,70,0,0,0
0.88976378,70,0,0,0
0.897637795,70,0,0,0
0.905511811,70,0,0,0
0.913385827,70,0,0,0
0.921259843,70,0,0,0
0.929133858,70,0,0,0
0.937007874,70,0,0,0
0.94488189,70,0,0,0
0.952755906,70,0,0,0
0.960629921,70,0,0,0
0.968503937,70,0,0,0
0.976377953,70,0,0,0
0.984251969,70,0,0,0
0.992125984,70,0,0,0
1,70,0,0,0
